# Forza Horizon 6 Luna teleport list
# NameBase64|PositionBase64
QmFybiBGaW5kLSBOaXNzYW4gU2t5bGluZSAyMDAwR1QtUg==|EJJTxfYw4kIf4/7Fp4/ZQA==
QmFybiBGaW5kLSBGb3JkIFNpZXJyYSBDb3N3b3J0aCBSUzUwMA==|akzARFxO+kIL44/F0YXyQA==
QmFybiBGaW5kLSBQb3JzY2hlIDkxMSBUdXJibyAzLjM=|PccFxXme+0KunWPFb5wPQA==
QmFybiBGaW5kLSBIb25kYSBOU1gtUiBHVA==|rzM9xfZLX0MqWxfFuxsiQw==
QmFybiBGaW5kLSBOaXNzYW4gUjM5MCAoR1QxKQ==|HKF7xVsBmkP1GFvFAAAAAA==
QmFybiBGaW5kLSBNaXRzdWJpc2hpIE1vbnRlcm8gRXZvbHV0aW9u|mJ+YxXs9aUN0iRnFAAAAAA==
QmFybiBGaW5kLSBQZXVnZW90IDIwNSBUdXJibyAxNg==|TxzNxU+2IkP7Wv/CAIAdrg==
QmFybiBGaW5kLSBNaXRzdWJpc2hpIFNlaXJyYSBTaWVycmEgRW50ZXJwcmlzZXM=|lUSlxeYbIUNJT7RDAACAPw==
QmFybiBGaW5kLSBOaXNzYW4gUEFP|R/VBw/GvC0NcGLzDDmpvOw==
TGFtYm9yZ2hpbmkgRGlhYmxvIFNW|KJCFRUMXIEOQxkfEAACAPw==
QmFybiBGaW5kLSBUb3lvdGEgMjAwMEdU|VqarRZBe2EKD1QFEPp1AQw==
QmFybiBGaW5kLSBMaW5jb2xuIENvbnRpbmVudGFs|gv/zw01bFUNZ9DlFAACAPw==
QmFybiBGaW5kLSBOaXNzYW4gU2t5bGluZSBOaXNtbyBHVC1S|r5f+w2DLsEPROp9FAACAPw==
