# Forza Horizon 6 Luna teleport list
# NameBase64|PositionBase64
U2hpbWFub3lhbWEgS2l0ZXM=|bqXcxaZVHkNcjOnEa8BgxA==
S29pbm9ib3JpIEZpc2ggRmxhZ3M=|ln/5xL5+BUMOfUPFAAAAAA==
U2t5IExhbnRlcm5z|v/bdxdopHkNzW+PEAAAAAA==
V2F0ZXIgTGFudGVybnM=|tpu6xfffHEN/U5nFv5amwA==
VGFuYWJhdGEgU3RyZWFtZXJz|qFT6xJIVBkPU50HFAAAAAA==
V2FrYW5hIFlhbWF6YWtpIE11cmFs|YpSjxQvsDEPNUeRCAZ1WQg==
S2VuamkgSXdhc2FraSBNdXJhbA==|/y5axFs7A0SATOVFlhgeww==
RHJhZ29uIDc2IE11cmFs|DVSHRDDg9EL6CmFETvv6Qw==
TmFvc2hpIE11cmFs|sjIpxdmfvEOgJZxDQvOAxA==
TGFkeSBBaWtvIE11cmFs|QIPxxO/76EJlY4rFAAAAAA==
VGF0c3VybyBLdWljaGkgTXVyYWw=|VMktRdEU3UJaOtfEntzYwg==
T2t1eWFtYSBUYWlraSBNdXJhbA==|nBi3RNjJ+ELat/pEh60VQQ==
S2F6dWhpc2EgVXJhZ2FtaSBNdXJhbA==|xQazxDGx+UJ18gvGDxBOwg==
Q2hhc2VyIFplcm8=|dy4NxZNBwEOjAVbEkROhQw==
RGFpa29rdSBNb251bWVudA==|uRLLw4DEzEJXJ8vFYXUPxA==
SGlyb3Nha2UgQ2FzdGxl|7gM3RR7RBURR4MRFgDh3wQ==
S2lua2FrdS1KaQ==|5dJLxUFtSkOcNAfFAAAAAA==
S2l0YXlhbWEgQmlnIERhaXN1Z2k=|4NVzRT/zLEOhLD9De3Oxvw==
UGVhY2UgVG9yaQ==|ATm6xU5JHEOLSZjF/ksSwQ==
UnVyaWtvLUppIFRlbXBsZQ==|MpCgwww99UKOmYpEe/UYQg==
U2hpcmFrYXdhIElzbGFuZCBGYXJtaG91c2U=|5EKIRBp96kJEqMJCn4nrwg==
U290b3lhbWEgU2tpIFJlc29ydA==|/PlDxKk7A0TiOORFAAAAAA==
U3RhdHVlIE9mIEhhY2hpa28=|/gfCxHWm4kJxRpXF47pqQg==
VGVtcGxlIE9mIE5hY2hpIEZhbGxz|mpmXxGERY0Nxo5lFAAAAAA==
SFpOLVZJIFJPQ0tFVA==|utOaxBjR+UJNRQTGsC4Oww==
VG9reW8gVG93ZXI=|qfP6xKeR8kJgM5zF31+lxw==
