# Forza Horizon 6 Luna teleport list
# NameBase64|PositionBase64
TWluYW1pbm8geHAgMQ==|8AiDRA/y0UL39XjFxAdPww==
TWluYW1pbm8geHAgMg==|RdyRRLnE1EKb+TPFYXiGxg==
TWluYW1pbm8geHAgMw==|1vLaQ7Qq10JwVljFwnuGxg==
TWluYW1pbm8geHAgNA==|3nFMQ8K920I8DEDFyvfgvg==
TWluYW1pbm8geHAgNQ==|Pm63Q1KJDEM56CzFXKT5vg==
TWluYW1pbm8geHAgNg==|lD2/xHUZm0MLCSLF1bolvw==
TWluYW1pbm8geHAgNw==|w1fLREBL6EKo2MfEuON0vA==
TWluYW1pbm8geHAgOA==|Kp8NRYMb7kK80a3EuON0vA==
TWluYW1pbm8geHAgOQ==|OAA9RDz06kJr8JHEb7mhwA==
TWluYW1pbm8geHAgMTA=|06qGwy0+KUNvR5DE51exxQ==
TWluYW1pbm8geHAgMTE=|cdqHRNp86UI3pSzE80e9xA==
TWluYW1pbm8geHAgMTI=|z6CVwgCpA0PTGljD2E29xA==
TWluYW1pbm8geHAgMTM=|j00gRXfMHUMPByLDS229xA==
TWluYW1pbm8geHAgMTQ=|gMakRCoE80LYpC5Ej5K9xA==
TWluYW1pbm8geHAgMTU=|i1zOwhN/8UItc5dEkerHxA==
TWluYW1pbm8geHAgMTY=|1dQiwlO/5ELrWvzEtGbRxA==
TWluYW1pbm8geHAgMTc=|hLMxxH/86UKjiL9EQInRxA==
TWluYW1pbm8gIHhwIDE4|NjJWQ5SLQ0PAtTxDnusfxg==
TWluYW1pbm8geHAgMTk=|s2CEREdY6kKbj9lCYmyVwQ==
TWluYW1pbm8geHAgMjA=|TajtRDP250IcvtFDdwtSww==
SG9rdWJ1IHhwIDE=|GkvgxNlQ8EKWwglFBgolxg==
SG9rdWJ1IHhwIDI=|aKSnw5KFDUOnWWVFjttkww==
SG9rdWJ1IHhwIDM=|PI/bwo0h7kLeGPtEBSt1ww==
SG9rdWJ1IHhwIDQ=|pm5HRLwiFUMEBKxEx+Mtxg==
SG9rdWJ1IHhwIDU=|xRw4RciYjEOYMl5FTCf4vw==
SG9rdWJ1IHhwIDY=|dB2DRc8n9kKg50xFTUsuxg==
SG9rdWJ1IHhwIDY=|hMiQRf+Ay0JShjRF04hOww==
SG9rdWJ1IHhwIDc=|ocyDRQ0ff0MfiGhFjqsxxg==
SG9rdWJ1IHhwIDg=|GuBiReaizEI9z0tFAZIHxA==
SG9rdWJ1IHhwIDk=|LJ1ARSdiAEOP3ypFVE7nOQ==
SG9rdWJ1IHhwIDEw|ZbBPRVQvFEMDJclEarcHxA==
SG9rdWJ1IHhwIDEx|c8UAReRRDUO8xgxFQIEzxg==
SG9rdWJ1IHhwIDEy|AoH9whHAA0OciR5FAEDbtg==
SG9rdWJ1IHhwIDEz|pIJlRJn/BEM364FFx11nxA==
SG9rdWJ1IHhwIDE0|52faRC4KTUOe0l1Fuq41vg==
SG9rdWJ1IHhwIDE1|oOQIRX3lDkP+0HZFtJa2ww==
SG9rdWJ1IHhwIDE2|QhQkRcREPkNeF4BF6XBNwg==
SG9rdWJ1IHhwIDE3|BURxRbzqJUQ+5txF3HBNwg==
SG9rdWJ1IHhwIDE4|0V/6RGF33UN5RLxFVX5Nwg==
SG9rdWJ1IHhwIDE5|5hl9w08qxUOsdK9FvoufxA==
SG9rdWJ1IHhwIDIw|RSqmQz7LKUNt/odFwqSfxA==
VGFrYXNoaXJvIHhwIDE=|SxcIRfZ600ME7JZFkdBVwg==
VGFrYXNoaXJvIHhwIDI=|eO9pRbkY7kO8OpdFG+EUxA==
VGFrYXNoaXJvIHhwIDM=|tmSERU6ZokM23Y9FZQxhxA==
VGFrYXNoaXJvIHhwIDQ=|bDBURVbAIUQEurJF6nSRxA==
VGFrYXNoaXJvIHhwIDU=|ufk4RdMe7kN/iJ1FFOnqxA==
VGFrYXNoaXJvIHhwIDY=|BhcdRWgr+0OZG81FpgfWxA==
VGFrYXNoaXJvIHhwIDc=|gViYRFqDpUOyIqhFqYKcxQ==
