# Forza Horizon 6 Luna teleport list
# NameBase64|PositionBase64
RGFpa29rdSBDYXIgTWVldA==|eUfKw9LQzELCdMzFnFxVwg==
UmFpbmJvdyBCcmlkZ2U=|HAuGxMqR+ULYq9LFW4M4xA==
QWtpaGFiYXJhIEVsZWN0cmljIFRvd24=|1CwoxKHP0kI0/KfFAAAAAA==
TWVpamkgSmluZ3UgR2FpZW4gR2lua2dvIEF2ZW51ZQ==|jFmpxDsu1UIDZafFbvSZxA==
VG9reW8gVG93ZXI=|KXztxPxe80L4VJvFAAAAAA==
RWRvZ2F3YSBCYXNlYmFsbCBTdGFkaXVt|4WIExUet5kI94I7FAAAAAA==
VG9reW8gQ2l0eSBCcm9hZHdheQ==|FM3bxGTD50JUyZDFhm9RxQ==
U2hpYnV5YSBDcm9zc2luZw==|LY/CxOip4kIR65PFennswQ==
U2hpbmp1a3UgR3lvZW4gTmF0aW9uYWwgR2FyZGVu|iJhCxDMH1UK7o4DFjxCrwQ==
VG9reW8gQ2VudHJhbCBSYWlsd2F5IFN0YXRpb24=|Lgfdw0UI00IjWZDFXobHwQ==
VGF0c3VtaSBQYXJraW5nIEFyZWE=|vNlXQqORAEPCa3vF7w0Fxg==
VG9reW8gQ2l0eSBEb2Nrcw==|Ht1bRF29zEJcS6nFAAAAAA==
U3BhY2UgQ2VudGVy|fnyaxFnT+UL1JAXGAAAAAA==
Sm9kb2dhaGFtYSBCZWFjaA==|oMahw/Bw1EJyo/3FAAAAAA==
SGFrb25lIE5hbmFtYWdhcmk=|DvApxbM2XkOXgPfFja2Owg==
S2F3YXp1IE5hbmFkYXJ1IExvb3AgQnJpZGdl|W3mRxanxZkOTC7/FAAAAAA==
SXp1IFNreWxpbmU=|4498xd2fmkPXY6jFBVjRww==
UGVhY2UgVG9yaWk=|55e5xeGgJEPMfpnF+dz8vw==
TGFrZSBWaWV3aW5nIFBsYXRmb3Jt|zyOlxRivnEP6ZorF/Av8wA==
TWF0c3VtaSBHcmVhdCBCcmlkZ2U=|oNJQxdNDZkN6/VjFAAAAAA==
S2lua2FrdS1qaSBUZW1wbGU=|U+VOxdFhSkPPpQbFkmHRwg==
QmFuZGFpIEF6dW1hIFNreWxpbmU=|NkOrxax2g0MUuCXFqrwUww==
U2hpYmF6YWt1cmEgTGF3biBDaGVycnkgRmllbGRz|Su3BxeKjIkPA+0zF/75Ewg==
RnVqaSBTaGliYXpha3VyYQ==|ezzdxYhiJkP2tGfFAAAAAA==
SG9yaXpvbiBTdGFkaXVt|s8XnxcDDHkMkJAfFg4ZDQw==
TmFyYWktSnVrdQ==|ucyhxSLpDEN5lFdDAAAAAA==
TWluYW1pIEF3YSBEb3VibGUgUm9hZA==|+DVuxSrJJkOHAYFAeeB3ww==
WW9zaGlub3lhbWE=|aLaAxQYuDEMKJWBEE2LOwA==
U2hpbWFub3lhbWEgRHJpZnQgQ2lyY3VpdA==|a/DsxIcsDEO9S7pE0SmEwg==
T2h0YW5pIEhvcml6b24gRmVzdGl2YWwgU2l0ZQ==|KkoOxRKzv0PofovEBbQOwg==
RmVzdGl2YWwgU2l0ZSBQYXJraW5nIExvdA==|0qL4xDqhwkNNuljEAAAAAA==
UnVyaWtvLWppIFRlbXBsZQ==|u2iIw+3v+ELM1YZE3r0lPQ==
U2hpcmFrYXdhLWdv|zeSlRH5k8EKkcOBDAAAAAA==
QXJhc2hpeWFtYSBCYW1ib28gRm9yZXN0|ecMyRUJnF0OwxiZEZW/axA==
V2luZCBGYXJt|g8OzRRaIeENuLxFFZt4Hwg==
SW5l|hR++RYBeykKuB/tEAAAAAA==
S2l0YXlhbWEgQmlnIERhaXN1Z2k=|Kgl4RY7LJUOuxFhDAAAAAA==
WWFoaWtveWFtYSBSb3Bld2F5|pQpmRUWWbUM1aZHDUjh0wg==
U2F0dGEgUGFzcw==|3iGWRfHE50JE627E1S0xww==
TmFydW8gR29sZiBDb3Vyc2U=|uR48RIg67EKFi0fEAAAAAA==
SXRvIEFpcmZpZWxk|TXEtRXbt5UIXHY3EuvRcww==
T3Nha2EgVHVubmVscw==|C/ViRZNHEkNJQAzF9y3XQw==
Q2VkYXIgQXZlbnVl|ZhY2RGFQ3ULXKxTFAAAAAA==
U2VraWJlIEthaWpvIEJyaWRnZSBSb2Fk|blQ3RRjJDUOq+KzFEgTZvw==
SW5ha2FkYXRlIFRhbmdvIFJpY2UgQXJ0|huvERLArz0JSwoPFAAAAAA==
Um9sbGVyY29hc3RlciBSb2Fk|4ZLkRMUM3kKPtoDFAAA0Mg==
U2Vhc2lkZSBQYXJr|LlftRJB5GEOviMrFKn8awA==
U2VraWJlIENpcmN1aXQ=|k5QnRTieT0MfGp3Fvlg7ww==
T3lhc2hpcmF6dSBDbGlmZiBUdW5uZWw=|uHI4RR9iA0OuTYjFAIB+Ng==
TWVvdG8gSXdhIFJvY2s=|XMNERVSAykJF4IHFhfrrxA==
U2VhYmVkIFJvYWQ=|H/FpRfIOyUJxmVPFAAAAAA==
SXJhYnVvaGFzaGkgQnJpZGdl|4cpURZmM2UIfgQ5FAAAAAA==
U2F3YW11cmE=|PpoGRTncD0PNMBNFAAD9tA==
SG9rdWJ1IENpcmN1aXQ=|lZU6RR+J9kIgVyVFplBewQ==
T2tpc2hpbmFpbXVyYQ==|az+CRbrV7UKCRE1FAAAAAA==
U2hpa2lzYWktbm8tb2th|42+rw/MjGEMCYk1FAAAAAA==
SG9rdXJ5dSBTdW5mbG93ZXIgRmFybQ==|wZzDRG429kLTKvZE5qGCxQ==
TXQuIEhhcnVuYQ==|kDWFRTr6l0MMVoxFc/Ikww==
U29uaSBIaWdobGFuZHM=|MmJVRc93BERpiaNFAAAAAA==
U29uaSBDaXJjdWl0|Eb4tRWV24UOwtZlFCslxww==
VGVhIEZhcm0=|zUS+RCixhEP/pJdFAAAAAA==
VmVudXMgTGluZQ==|y4sZRUUl5EMSYMJFAZ3Kww==
SGlyb3Nha2kgQ2FzdGxl|dWcxRUEZBETPVslFfduewQ==
T2t1aWJ1a2kgUGFya2luZyBMb3Q=|hF2KRAuw30PAUcRF9VbWwA==
Tm9yaWt1cmEgU2t5bGluZQ==|DanWwpsuC0TD6dhFAACwtg==
U290b3lhbWEgU2tpIFJlc29ydA==|Hb9GxBc5A0R+A+RFAAAAAA==
SG90ZWwgVGh1bmRlcmJpcmQ=|QcrLw0s20EO5IrRFAAAAAA==
VGVtcGxlIG9mIE5hY2hpIEZhbGxz|mpmXxGARY0Nxo5lFAAAAAA==
U25vdyBNb25zdGVyIEZvcmVzdA==|H292w8RyQ0QqmwpGAAAAAA==
VGF0ZXlhbWEgS3Vyb2JlIEFscGluZSBSb3V0ZQ==|NbbgRAI3SERwYvVFAAAAAA==
TGFrZSBOdWthYmlyYQ==|4lUjRUYBSURCgvhFAAAAAA==
TGVnZW5kIElzbGFuZCBDaXJjdWl0|w+mFRZeDIkMO+afFy9weQw==
UmFkaW8gVG93ZXI=|07SXRaGcVENe7aPFI6MdQw==
